plot	date	time	who	condition	tx	plant	height	n.leaves	n.mines	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
03	41500	NA	PTH & NA	MOCK	tx	A1	22	9	3	1	1	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	tx	A2	32	13	2	2	2	2							
03	41500	NA	PTH & NA	MOCK	tx	A3	25	10	3	2	1	0							
03	41500	NA	PTH & NA	MOCK	tx	A4	25	8	3	2	1	0							
03	41500	NA	PTH & NA	MOCK	tx	B1	23	8	2	2	1	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	tx	B2	23	11	3	2	2	0							
03	41500	NA	PTH & NA	MOCK	tx	B3	29	13	1	1	1	1							
03	41500	NA	PTH & NA	MOCK	tx	B4	34	13	4	3	2	0							
03	41500	NA	PTH & NA	MOCK	tx	C1	20	8	3	2	1	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	tx	C2	26	11	6	4	2	0							
03	41500	NA	PTH & NA	MOCK	tx	C3	28	12	6	4	2	0							lots of larvae
03	41500	NA	PTH & NA	MOCK	tx	C4	22	10	3	2	1	0							
03	41500	NA	PTH & NA	MOCK	tx	D1	28	9	5	4	2	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	tx	D2	34	11	2	2	1	0							
03	41500	NA	PTH & NA	MOCK	tx	D3	29	10	3	2	3	0							
03	41500	NA	PTH & NA	MOCK	tx	D4	33	10	3	1	1	0							
03	41500	NA	PTH & NA	MOCK	zm	A1	22	12	1	1	1	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	zm	A2	30	9	1	1	2	8					1		galls on leaf
03	41500	NA	PTH & NA	MOCK	zm	A3	34	9	2	1	1	14							
03	41500	NA	PTH & NA	MOCK	zm	A4	30	9	1	1	3	10							
03	41500	NA	PTH & NA	MOCK	zm	B1	26	13	2	2	2	2	NA	NA					
03	41500	NA	PTH & NA	MOCK	zm	B2	32	10	4	3	2	14							
03	41500	NA	PTH & NA	MOCK	zm	B3	23	12	3	2	0	0							
03	41500	NA	PTH & NA	MOCK	zm	B4	25	10	1	1	1	0							
03	41500	NA	PTH & NA	MOCK	zm	C1	24	9	2	1	1	0	NA	NA					
03	41500	NA	PTH & NA	MOCK	zm	C2	24	12	2	2	1	0							
03	41500	NA	PTH & NA	MOCK	zm	C3	29	10	4	3	1	0							
03	41500	NA	PTH & NA	MOCK	zm	C4	31	9	5	3	4	5							
03	41500	NA	PTH & NA	MOCK	zm	D1	38	14	4	3	2	13	NA	NA					
03	41500	NA	PTH & NA	MOCK	zm	D2	30	14	6	3	1	5							
03	41500	NA	PTH & NA	MOCK	zm	D3	28	8	3	1	2	2							
03	41500	NA	PTH & NA	MOCK	zm	D4	38	23	3	1	2	3							
07	41500	NA	PTH & NA	JA	tx	A1	40	7	2	2	3	1	NA	NA					
07	41500	NA	PTH & NA	JA	tx	A2	35	12	1	1	4	0							
07	41500	NA	PTH & NA	JA	tx	A3	46	8	2	2	2	5							
07	41500	NA	PTH & NA	JA	tx	A4	39	8	5	5	5	6							
07	41500	NA	PTH & NA	JA	tx	B1	40	9	1	1	3	0	NA	NA	0				DRY
07	41500	NA	PTH & NA	JA	tx	B2	39	8	1	1	3	3			0			1	DRY
07	41500	NA	PTH & NA	JA	tx	B3	45	9	4	4	3	6			0			1	
07	41500	NA	PTH & NA	JA	tx	B4	43	6	3	3	2	3			0				
07	41500	NA	PTH & NA	JA	tx	C1	42	6	2	2	3	0	NA	NA					
07	41500	NA	PTH & NA	JA	tx	C2	40	7	2	2	2	0			0			1	
07	41500	NA	PTH & NA	JA	tx	C3	36	11	1	1	2	1							
07	41500	NA	PTH & NA	JA	tx	C4	45	8	2	1	2	5							
07	41500	NA	PTH & NA	JA	tx	D1	40	11	0	0	3	1	NA	NA					
07	41500	NA	PTH & NA	JA	tx	D2	42	10	3	3	2	1			1				
07	41500	NA	PTH & NA	JA	tx	D3	42	10	0	0	3	3							
07	41500	NA	PTH & NA	JA	tx	D4	28	7	3	3	2	0			0				
07	41500	NA	PTH & NA	JA	zm	A1	45	7	1	1	3	6	NA	NA					DRY
07	41500	NA	PTH & NA	JA	zm	A2	40	13	2	1	3	0							
07	41500	NA	PTH & NA	JA	zm	A3	43	14	2	2	3	0			1				
07	41500	NA	PTH & NA	JA	zm	A4	43	10	2	2	3	0			1				
07	41500	NA	PTH & NA	JA	zm	B1	32	10	3	3	3	0	NA	NA	1				LARVA IN LEAF 6
07	41500	NA	PTH & NA	JA	zm	B2	23	8	5	4	2	0							
07	41500	NA	PTH & NA	JA	zm	B3	48	9	3	3	3	7							
07	41500	NA	PTH & NA	JA	zm	B4	47	9	4	3	4	8			1				
07	41500	NA	PTH & NA	JA	zm	C1	30	11	4	4	3	0	NA	NA	0			1	
07	41500	NA	PTH & NA	JA	zm	C2	36	7	3	2	3	0			0				
07	41500	NA	PTH & NA	JA	zm	C3	39	7	6	5	1	5			4				
07	41500	NA	PTH & NA	JA	zm	C4	43	8	3	2	3	9			2				
07	41500	NA	PTH & NA	JA	zm	D1	41	9	4	4	3	1	NA	NA	1				
07	41500	NA	PTH & NA	JA	zm	D2	43	7	1	1	2	4			0			1	
07	41500	NA	PTH & NA	JA	zm	D3	40	8	4	4	3	1			1				
07	41500	NA	PTH & NA	JA	zm	D4	44	12	0	0	3	5							
10	41504	11:55am	LK & PTH	MOCK	tx	A1	35	12	3	3	3	3	2	1	3				
10	41504	11:55am	LK & PTH	MOCK	tx	A2	32	12	1	1	2	1			0				
10	41504	11:55am	LK & PTH	MOCK	tx	A3	32	7	1	1	1	2			0				
10	41504	11:55am	LK & PTH	MOCK	tx	A4	30	9	3	3	3	1			1				
10	41504	11:55am	LK & PTH	MOCK	tx	B1	35	8	1	1	2	7	1	7	0				PSYLLIDS ON ROOTS
10	41504	11:55am	LK & PTH	MOCK	tx	B2	31	11	2	2	3	5			0				
10	41504	11:55am	LK & PTH	MOCK	tx	B3	30	8	4	4	2	6			0				
10	41504	11:55am	LK & PTH	MOCK	tx	B4	29	10	1	2	1	0			0	2			
10	41504	11:55am	LK & PTH	MOCK	tx	C1	38	9	0	0	2	5							
10	41504	11:55am	LK & PTH	MOCK	tx	C2	22	7	3	3	1	0	2	4	0	2			
10	41504	11:55am	LK & PTH	MOCK	tx	C3	30	7	4	4	2	0			1	1			
10	41504	11:55am	LK & PTH	MOCK	tx	C4	34	9	2	2	2	0			0				
10	41504	11:55am	LK & PTH	MOCK	tx	D1	34	8	1	1	3	2	4	6					
10	41504	11:55am	LK & PTH	MOCK	tx	D2	38	11	4	4	3	3			0	1			
10	41504	11:55am	LK & PTH	MOCK	tx	D3	30	12	4	4	6	0			0				
10	41504	11:55am	LK & PTH	MOCK	tx	D4	39	12	1	1	4	2			0				
10	41504	11:55am	LK & PTH	MOCK	zm	A1	31	7	1	1	3	0	1	6	0				
10	41504	11:55am	LK & PTH	MOCK	zm	A2	38	16	1	1	4	0			1				
10	41504	11:55am	LK & PTH	MOCK	zm	A3	32	7	1	1	2	0			0				
10	41504	11:55am	LK & PTH	MOCK	zm	A4	39	14	1	1	2	9			0				
10	41504	11:55am	LK & PTH	MOCK	zm	B1	36	8	4	4	2	7	1	3					
10	41504	11:55am	LK & PTH	MOCK	zm	B2	31	12	4	4	5	1			0	2			
10	41504	11:55am	LK & PTH	MOCK	zm	B3	36	12	4	4	4	0							PSYLLID BUMPS ON STEM
10	41504	11:55am	LK & PTH	MOCK	zm	B4	35	11	1	1	3	0			0				
10	41504	11:55am	LK & PTH	MOCK	zm	C1	30	11	5	5	4	0	3	2	1	1			
10	41504	11:55am	LK & PTH	MOCK	zm	C2	35	14	5	6	8	6			0				
10	41504	11:55am	LK & PTH	MOCK	zm	C3	35	11	0	0	4	4			0				
10	41504	11:55am	LK & PTH	MOCK	zm	C4	36	8	1	1	4	6			0				
10	41504	11:55am	LK & PTH	MOCK	zm	D1	42	12	1	1	5	8	1	4	0				
10	41504	11:55am	LK & PTH	MOCK	zm	D2	31	11	1	1	4	0			0	1			
10	41504	11:55am	LK & PTH	MOCK	zm	D3	33	11	0	0	4	0			0				
10	41504	11:55am	LK & PTH	MOCK	zm	D4	34	10	0	0	4	3			0				
27	41502	0.702777778	AK & PTH	JA	tx	A1	35	8	4	4	4	0	2	2	0	0			
27	41502	0.702777778	AK & PTH	JA	tx	A2	47	7	5	5	4	0			0	0			
27	41502	0.702777778	AK & PTH	JA	tx	A3	37	11	9	9	8	0			1	0			
27	41502	0.702777778	AK & PTH	JA	tx	A4	52	8	6	6	4	0			2	0			
27	41502	0.702777778	AK & PTH	JA	tx	B1	51	12	11	11	7	0			7	0			
27	41502	0.702777778	AK & PTH	JA	tx	B2	50	8	7	7	4	0	3	1	5	0			
27	41502	0.702777778	AK & PTH	JA	tx	B3	44	10	7	7	6	0			2	0			
27	41502	0.702777778	AK & PTH	JA	tx	B4	49	8	8	8	6	0			3	0			
27	41502	0.702777778	AK & PTH	JA	tx	C1	59	13	12	12	13	20	4	1	6	1			
27	41502	0.702777778	AK & PTH	JA	tx	C2	57	13	11	11	6	8			4	0			
27	41502	0.702777778	AK & PTH	JA	tx	C3	56	11	8	8	5	6			4	0			
27	41502	0.702777778	AK & PTH	JA	tx	C4	45	11	8	8	6	0			0	3			
27	41502	0.702777778	AK & PTH	JA	tx	D1	51	9	8	8	6	0			4	4			
27	41502	0.702777778	AK & PTH	JA	tx	D2	57	15	12	12	4	16	2	1	1	11			
27	41502	0.702777778	AK & PTH	JA	tx	D3	51	11	7	7	7	3			1	6			
27	41502	0.702777778	AK & PTH	JA	tx	D4	59	13	9	9	5	20			2	2			
27	41502	0.702777778	AK & PTH	JA	zm	A1	54	14	10	10	4	17	1	3	2	1			
27	41502	0.702777778	AK & PTH	JA	zm	A2	42	11	11	11	8	0			1	2			
27	41502	0.702777778	AK & PTH	JA	zm	A3	52	8	6	6	4	6			0	0			
27	41502	0.702777778	AK & PTH	JA	zm	A4	60	12	8	8	10	20			0	0			
27	41502	0.702777778	AK & PTH	JA	zm	B1	53	9	9	9	2	0			2	4			
27	41502	0.702777778	AK & PTH	JA	zm	B2	57	9	9	9	6	11			5	0			
27	41502	0.702777778	AK & PTH	JA	zm	B3	44	8	7	7	4	0			4	0			
27	41502	0.702777778	AK & PTH	JA	zm	B4	38	9	9	9	2	0	5	NA	2	0			
27	41502	0.702777778	AK & PTH	JA	zm	C1	40	9	9	9	3	0			0	0			
27	41502	0.702777778	AK & PTH	JA	zm	C2	52	9	9	9	5	5			0	0			
27	41502	0.702777778	AK & PTH	JA	zm	C3	55	10	8	8	4	10	1	1	0	0			
27	41502	0.702777778	AK & PTH	JA	zm	C4	50	14	14	14	8	6			2	2			
27	41502	0.702777778	AK & PTH	JA	zm	D1	60	8	8	8	4	19			1	2			
27	41502	0.702777778	AK & PTH	JA	zm	D2	56	11	9	9	8	8			0	0			
27	41502	0.702777778	AK & PTH	JA	zm	D3	59	10	8	8	4	NA	6	1	1	4			
27	41502	0.702777778	AK & PTH	JA	zm	D4	55	10	10	10	5	13			3	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	A1	49	8	5	5	3	10	3	1	0	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	A2	51	10	3	3	9	22			0	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	A3	46	8	4	4	1	9			0	0		1	
31	41502	0.670138889	AK & PTH	MOCK	tx	A4	51	10	2	2	3	15			0	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	B1	50	8	3	3	2	14	1	5	0	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	B2	46	11	1	1	3	8			0	0			
31	41502	0.670138889	AK & PTH	MOCK	tx	B3	37	7	2	2	4	5			0	0			
