plot	region	date	time	who	condition	tx	subplot	txfull	plant	height	n.leaves	n.mines	mined.leaves	yellow.leaves	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	A1	19	9	2	"2,4"	"1,2"	2	2	0	1	3					
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	A2	13	7	2	"2,4"	1	2	1	0			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	A3	15	7	3	"3,4"	"1,2,3"	2	3	0			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	A4	13	6	2	"2,3"	1	2	1	0			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	B1	20	7	3	"1,2,3"	1	3	1	1	2	4					
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	B2	10	8	2	"1,2"	"1,2"	2	2	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	B3	11	7	1	1	1	1	1	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	B4	13	8	1	3	1	1	1	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	C1	12	6	1	2	"1,2,2"	1	3	0	1	2					
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	C2	10	5	1	2	1	1	1	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	C3	12	9	2	"2,4"	"1,2"	2	2	0					2		
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	C4	17	9	4	"4,6,7,9"	"1,2,3"	4	3	3							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	D1	12	7	3	"2,3,4"	"1,2,3"	3	3	0	3	1					UMLR was position 5
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	D2	14	7	2	"1,2"	"1,2"	2	2	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	D3	12	7	0	NA	1	0	1	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	tx	1_B	JA_tx	D4	9	4	0	NA	NA	0	0	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	A1	24	8	1	2	1	1	1	0	1	3					
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	A2	17	6	2	"3,4"	1	2	1	1			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	A3	27	6	5	"3,4,5,6"	"1,2,3,4,5"	4	5	9			2				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	A4	13	8	7	"2,3,4,5,6,7,8"	"1,2,3,4"	7	4	0			4		2		
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	B1	15	8	2	"5,6"	"1,2,3,6"	2	4	0	1	1	1				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	B2	15	8	2	"2,4"	"1,2"	2	2	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	B3	26	7	7	"1,2,3,5,6,7"	1	6	1	8			3				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	B4	20	6	4	"2,3,4"	"1,2,3,4"	3	4	2			2				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	C1	20	7	3	"2,3,7"	1	3	1	0	2	3	1				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	C2	21	8	1	6	1	1	1	0			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	C3	21	6	3	"2,3,4"	"1,2,3"	3	3	5							
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	C4	18	8	2	"2,3"	"1,2"	2	2	0							
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	D1	24	5	5	"1,2,3,4"	"1,2"	4	2	2	2	1	2				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	D2	21	11	4	"4,5,6,7"	"1,2,3,5"	4	4	0			1				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	D3	14	6	3	"3,4,6"	"1,2"	3	2	0			2				
1	A	15-Aug	11:00am	Nic & Cole	JA	zm	1_A	JA_zm	D4	12	8	6	"2,3,4,5,6,7"	2	6	1	0							
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	A1	31	13	4	"4,5,7"	"1,2,3"	3	3	0	3	8					
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	A2	38	13	6	"4,5,6,7,8,10"	"1,2"	6	2	2			2				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	A3	32	12	5	"4,5,6,8,10"	"1,2,3"	5	3	0							
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	A4	38	15	2	"8,11"	"1,2,3"	2	3	0			2				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	B1	35	11	5	"3,4,5,8,9"	"1,2"	5	2	0	2	2	3				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	B2	35	14	3	"4,7,9"	"1,2,3,4"	3	4	0			2				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	B3	19	6	6	"1,2,3,4,5"	NA	5	0	0			0				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	B4	38	12	4	"4,5,8,9"	"1,2,3"	4	3	6			0				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	C1	37	11	9	"2,3,4,5,6,7,8,10,11"	"1,2,3"	9	3	2	6	2	4				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	C2	35	9	3	"2,5,8"	1	3	1	0			0				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	C3	32	11	5	"4,5,6,7"	"1,2"	4	2	0			3				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	C4	44	8	7	"1,2,3,4,5,6,7"	2	7	1	8			7				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	D1	33	15	5	"4,5,7,8,10"	"1,2,3,4,5"	5	5	0	2	9	2				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	D2	36	9	5	"4,5,7,8"	"1,2,3"	4	3	2			8				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	D3	30	9	1	5	"1,2,3"	1	3	0			0				
2	A	15-Aug	11:30am	MS	SA	tx	2_B	SA_tx	D4	36	8	2	"4,6"	"1,2,3"	2	3	6			1				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	A1	37	13	4	"3,4,5,8"	"1,2,3,4"	4	4	2	4	4	3				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	A2	33	14	2	"5,7"	"1,2,3"	2	3	0			2				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	A3	35	19	2	"6,17"	"1,2,3,4,5,6"	2	6	0			0	2			
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	A4	17	10	5	"3,3,5,6,7"	"1,2"	5	2	0			0				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	B1	29	9	3	"3,4,5"	"1,2,3"	3	3	0	2	1	2				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	B2	38	9	2	"4,5"	"1,2"	2	2	6			2				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	B3	30	9	1	2	"1,2"	1	2	0			0				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	B4	36	14	3	"4,5,9"	"1,2,3,4,5"	3	5	0			1			1	
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	C1	32	8	4	"2,3,4,5"	1	4	1	0	1	3	4				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	C2	40	14	7	"4,6,7,8,9,10,11"	"1,2"	7	2	0			5				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	C3	36	9	0	NA	"1,2"	0	2	0			0				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	C4	35	12	5	"3,4,5,7"	"1,2,3,4"	4	4	0			4				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	D1	34	16	5	"3,4,5,6,7"	"1,2,3,4"	5	4	0	1	2	2				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	D2	35	14	3	"2,3,5"	"1,2,3"	3	3	0			0				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	D3	34	15	9	"3,4,5,6,7,8,10,11"	"1,2,3,4"	8	4	0			9				
2	A	15-Aug	11:30am	MS	SA	zm	2_A	SA_zm	D4	38	15	5	"2,3,4,6,11"	"1,2,3"	5	3	0			2				
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	A1	22	9	3	1	2	1	1	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	A2	32	13	2	"2,3"	"1,2"	2	2	2							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	A3	25	10	3	"1,4"	1	2	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	A4	25	8	3	"2,3"	1	2	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	B1	23	8	2	"1,2"	1	2	1	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	B2	23	11	3	"2,3"	"1,2"	2	2	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	B3	29	13	1	2	1	1	1	1							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	B4	34	13	4	"2,3,5"	"1,2"	3	2	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	C1	20	8	3	"2,3"	1	2	1	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	C2	26	11	6	"2,3,4,5"	"1,2"	4	2	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	C3	28	12	6	"1,2,3,4"	"1,2"	4	2	0							lots of larvae
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	C4	22	10	3	"1,3"	1	2	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	D1	28	9	5	"2,3,4,5"	"1,2"	4	2	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	D2	34	11	2	"3,4"	1	2	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	D3	29	10	3	"2,3"	"1,2,3"	2	3	0							
3	A	14-Aug	NA	PTH & NA	MOCK	tx	3_B	MOCK_tx	D4	33	10	3	4	1	1	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	A1	22	12	1	2	1	1	1	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	A2	30	9	1	4	"1,2"	1	2	8					1		galls on leaf
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	A3	34	9	2	2	1	1	1	14							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	A4	30	9	1	3	"1,2,3"	1	3	10							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	B1	26	13	2	"1,2"	"1,2"	2	2	2	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	B2	32	10	4	"1,2,4"	"1,2"	3	2	14							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	B3	23	12	3	"3,4"	NA	2	0	0							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	B4	25	10	1	1	1	1	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	C1	24	9	2	3	1	1	1	0	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	C2	24	12	2	"4,5"	1	2	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	C3	29	10	4	"1,2,6"	1	3	1	0							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	C4	31	9	5	"5,7,8"	"1,2,3,4"	3	4	5							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	D1	38	14	4	"3,4,5"	"1,3"	3	2	13	NA	NA					
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	D2	30	14	6	"2,3,4"	1	3	1	5							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	D3	28	8	3	4	"1,2"	1	2	2							
3	A	14-Aug	NA	PTH & NA	MOCK	zm	3_A	MOCK_zm	D4	38	23	3	6	"1,2"	1	2	3							
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	A1	13	9	4	"2,3,4"	"1,2"	3	2	0	NA	NA	1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	A2	19	9	8	"1,2,3,4,5"	"1,2,"	5	3	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	A3	27	12	7	"3,4,5,6,7,8,9"	"1,2,3,4"	7	4	8			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	A4	19	5	6	"1,2,3,4,5"	NA	5	0	10			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	B1	13	8	5	"1,2,3,4,5"	"1,2"	5	2	0	NA	NA	1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	B2	18	11	6	"3,4,5,6,7,8"	"1,2,3,4"	6	4	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	B3	17	6	6	"1,2,3,4,5,6"	"1,2"	6	2	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	B4	23	9	7	"2,3,4,5,6,7"	1	6	1	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	C1	18	9	4	"2,3,4,5"	"1,2,3,4"	4	4	0	NA	NA	NA				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	C2	13	5	6	"1,2,3,4"	"1,2"	4	2	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	C3	17	7	4	"3,4,5,6"	"1,2"	4	2	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	C4	20	10	6	"3,4,5,6,7"	"1,2"	5	2	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	D1	22	11	4	"3,4,5,6"	"1,2,3"	4	3	0	NA	NA	3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	D2	19	10	4	"2,3,10"	1	3	1	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	D3	19	7	6	"2,3,4,5"	1	4	1	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	tx	4_B	JA_tx	D4	20	7	9	"2,3,4,5,6,7"	"1,2"	6	2	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	A1	14	9	5	"2,3,4,5,6"	1	5	1	0	NA	NA	4				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	A2	13	8	4	"3,4,5,6"	"1,2,3"	4	3	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	A3	13	7	5	"2,5,6,7"	"1,2,3,4"	4	4	0			3				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	A4	15	7	5	"1,2,3,4,5"	"1,2"	5	2	0			0				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	B1	13	7	4	"3,4,5"	"1,2"	3	2	0	NA	NA	2				
