leaf.id	leaf.tx	plant.tx	log.avg.g	n.doublings	doublings.day	r
2.2	s05	1	9.482836299	24.85744413	4.142907355	1.247139383
2.2	s12	1	7.248676259	17.43572513	2.905954188	0.8747793765
2.2	s02	1	6.912370673	16.31854215	2.719757025	0.8187284455
2.2	s03	1	6.837941362	16.07129333	2.678548889	0.8063235604
2.2	s01	1	6.761117911	15.81609135	2.636015225	0.7935196518
2.2	s08	1	6.651761384	15.45281683	2.575469472	0.775293564
2.2	s09	1	6.385434542	14.56809821	2.428016369	0.7309057569
2.2	s04	1	5.856744926	12.81182933	2.135304888	0.642790821
2.2	s10	1	5.332406975	11.07001635	1.845002725	0.5554011625
2.2	s11	1	5.308628986	10.99102758	1.831837931	0.5514381643
2.2	s06	1	4.918739128	9.695841509	1.615973585	0.4864565213
2.2	s07	1	4.629792979	8.735983182	1.455997197	0.4382988299
2.3	s12	1	7.810603274	19.30240626	3.217067711	0.968433879
2.3	s05	1	7.124607972	17.0235792	2.837263199	0.8541013286
2.3	s01	1	7.079702712	16.87440715	2.812401192	0.8466171187
2.3	s04	1	6.971553886	16.51514453	2.752524088	0.8285923144
2.3	s03	1	6.428268339	14.71038901	2.451731501	0.7380447231
2.3	s10	1	6.221678471	14.02411232	2.337352054	0.7036130786
2.3	s02	1	6.026203075	13.37475711	2.229126185	0.6710338458
2.3	s07	1	5.754932839	12.47361689	2.078936149	0.6258221398
2.3	s08	1	5.433417127	11.40556482	1.900927469	0.5722361878
2.3	s11	1	5.303979831	10.97558342	1.829263904	0.5506633051
2.3	s09	1	4.718512112	9.030701761	1.50511696	0.453085352
2.3	s06	1	4.384413367	7.920849753	1.320141625	0.3974022278
6.1	s12	2	10.3922297	27.87838362	4.64639727	1.39870495
6.1	s03	2	9.764851414	25.79427806	4.299046344	1.294141902
6.1	s04	2	8.582464435	21.86647354	3.644412257	1.097077406
6.1	s02	2	7.463441557	18.14916	3.024860001	0.9105735929
6.1	s08	2	6.65381717	15.45964601	2.576607668	0.7756361951
6.1	s10	2	5.788386869	12.58474877	2.097458129	0.6313978115
6.1	s11	2	5.299653467	10.96121155	1.826868592	0.5499422445
6.1	s06	2	4.615938867	8.689960818	1.448326803	0.4359898112
6.1	s01	2	4.209517794	7.339859236	1.223309873	0.3682529657
6.1	s07	2	3.939360263	6.442415344	1.073735891	0.3232267105
6.1	s09	2	3.906478259	6.333183689	1.055530615	0.3177463764
6.2	s12	2	10.35901007	27.76803039	4.628005065	1.393168345
6.2	s03	2	9.819444059	25.97563091	4.329271818	1.303240677
6.2	s02	2	6.906978771	16.30063064	2.716771773	0.8178297951
6.2	s10	2	6.128346558	13.71407041	2.285678402	0.6880577596
6.2	s04	2	5.725278554	12.37510749	2.062517915	0.620879759
6.2	s01	2	5.717034004	12.34771969	2.057953281	0.6195056674
6.2	s08	2	5.383287721	11.23903853	1.873173089	0.5638812868
6.2	s05	2	5.238072162	10.75664289	1.792773814	0.5396786936
6.2	s07	2	4.954833552	9.815744592	1.635957432	0.4924722587
6.2	s09	2	4.872814184	9.54328215	1.590547025	0.478802364
6.2	s11	2	4.847656553	9.459710307	1.576618384	0.4746094254
6.2	s06	2	3.841308621	6.116694841	1.01944914	0.3068847702
6.4	s12	2	9.675854784	25.49863766	4.249772943	1.279309131
6.4	s03	2	7.625799851	18.68850258	3.11475043	0.9376333084
6.4	s01	2	6.736533016	15.7344221	2.622403683	0.7894221694
6.4	s02	2	6.24452387	14.10000309	2.350000516	0.707420645
6.4	s05	2	5.659025526	12.15501969	2.025836616	0.6098375876
6.4	s06	2	5.293815815	10.94181929	1.823636549	0.5489693024
6.4	s07	2	5.040227677	10.09941774	1.683236289	0.5067046129
6.4	s04	2	4.820192967	9.368478249	1.561413042	0.4700321611
6.4	s10	2	3.999132278	6.640973681	1.106828947	0.3331887131
6.4	s09	2	2.706416487	2.346664773	0.3911107955	0.1177360811
6.5	s12	1	8.755542726	22.44142718	3.740237863	1.125923788
6.5	s05	1	6.780437303	15.88026898	2.646711497	0.7967395504
6.5	s03	1	6.298810719	14.2803401	2.380056684	0.7164684531
6.5	s02	1	6.077507201	13.54518573	2.257530955	0.6795845336
6.5	s01	1	5.734877729	12.40699526	2.067832543	0.6224796216
6.5	s10	1	5.703054891	12.30128208	2.05021368	0.6171758151
6.5	s08	1	5.628678556	12.05420924	2.009034874	0.6047797594
6.5	s09	1	5.559540731	11.82453836	1.970756393	0.5932567885
6.5	s04	1	5.413902152	11.34073747	1.890122912	0.5689836919
6.5	s07	1	5.344069224	11.10875751	1.851459584	0.5573448706
6.5	s06	1	5.178940201	10.56021077	1.760035128	0.5298233668
