,samples,Sphingomonas1,Pseudomonas1,Caloribacterium1,Acetobacteraceae1,Pseudomonas2,Pseudomonas3,Massilia1,Pseudomonas4,Massilia2,Sphingomonas2,Xanthomonas,Pseudomonas5,Duganella1,Microbacteriaceae2,Microbacteriaceae1,Sphingomonas3,Geobacillus,Clavibacter,Pseudomonas6,Massilia3,Pedobacter1,Acetobacteraceae2,Anoxybacillus,Pseudomonas7,Sphingomonas4,Rhizobium1,Pseudaminobacter,Hyphomicrobium,Chryseobacterium1,Chryseobacterium2,Pedobacter2,Methylobacterium1,Planctomicrobium,Microbacteriaceae3,Sphingomonas5,Gaetbulimicrobium1,Microbacteriaceae4,Pseudomonas8,Gaetbulimicrobium2,Aureimonas,Sphingomonadaceae,Pseudomonas9,Puniceicoccus1,Massilia4,Polaromonas,Pseudomonas10,Janthinobacterium,Pseudomonas11,Acinetobacter,Pseudomonas12,Neorhizobium,Acetobacteraceae3,Pseudomonas13,Pseudomonas14,Methylobacterium2,Sphingomonas6,Rhodococcus,Escherichia,Chryseobacterium3,Puniceicoccus2,Flavobacterium,Sphingomonas7,Hymenobacter1,Sphingomonas8,Pedobacter3,Caloribacterium2,Sphingomonas9,Sphingomonas11,Persicirhabdus,Pseudomonas15,Pseudomonas29,Pseudomonas21,Pseudomonas24,Pseudomonas16,Massilia5,Sphingomonas10,Arthrobacter,Pseudomonas17,Sphingomonas12,Pseudomonas20,Comamonas,Pseudomonas19,Pseudomonas18,Brevundimonas,Sphingomonas13,Hymenobacter2,Pseudomonas22,Duganella2,Pseudomonas23,Hymenobacter3,Pseudomonas25,Rhizobium2,Staphylococcus,Sphingomonas14,Pseudomonas26,Devosia,Pseudomonas30,Pedobacter4,Acetobacteraceae4,Pseudomonas27,Pseudomonas28,Thermoproteus,Sphingomonas15,Lactococcus,Enterococcus,Sanguibacter,Ramlibacter1,Rhizobium3,Pedobacter5,Sphingomonas17,Pseudomonas35,Sphingomonas16,Sphingomonas18,Hymenobacter4,Pseudomonas32,Sphingomonas19,Epilithonimonas,Ramlibacter2,Sphingomonas21,Caloribacterium3,Pseudomonas31,Paenibacillus,Caloribacterium4,Pseudomonas33,Sphingomonas20,Caloribacterium5,Pseudomonas34,Caloribacterium6,Sphingomonas22,Methylobacterium3,Pseudomonas36,Cloacibacterium,Caloribacterium7,Caloribacterium8,Pseudomonas37,Caloribacterium9,Massilia6,Massilia7,Caloribacterium10,Massilia8,Sphingomonas23,Sphingomonas24,Methylobacterium4,Caloribacterium11,Caloribacterium12,Pseudomonas39,Microbacteriaceae5,Pseudomonas38,Sphingomonas25,Pseudomonas40,Sphingomonas26,Sphingomonas27,Phycisphaera,Caloribacterium13,Pseudomonas41,dataset.x,ROW_TOTALS,total,mtDNA,cpDNA,contam,prop_c,controls,sample_id,PNA,exclude,PlotNum,SubPlotTx,sp.id,PlotCond,sp.cond,SubPlot,txfull,LeafPos,SampType,DmgB,DmgC,DmgM,DmgS,herb.dmg,NDmgTypes,LeafCFU,logLeafCFU,LeafMTs
1,EL12_003,0,8184,32,0,1,236,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,37,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,20,34,0,45,0,0,0,33,0,0,1,27,47,0,0,0,45,0,40,0,3,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,1,26,0,0,4,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,18,0,0,0,0,0,3,3,EL2012,9261,11506,866,1018,1884,0.163740657,0,EL12_003,1,0,2,C,2_C,JA,MOCK,C1,JAC,5,2,y,NA,NA,NA,1,1,6615,3.82052442,2
2,EL12_011,21,418,14,0,0,7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,2,0,0,0,1,0,0,0,1,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,EL2012,516,12289,5974,5704,11678,0.950280739,0,EL12_011,1,0,2,C,2_C,JA,MOCK,D1,JAC,11,2,n,NA,NA,NA,0,0,28082,4.448428303,1
3,EL12_037,1459,3384,11,0,0,0,216,8,97,0,0,5,13,27,0,67,0,0,0,0,0,0,0,0,33,0,2,15,7,4,0,6,0,0,0,0,0,45,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,30,0,14,0,0,4,0,0,7,3,5,0,0,16,5,0,16,8,15,0,20,3,6,0,20,10,0,0,22,8,0,7,0,18,0,29,161,4,0,1,2,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,5,0,0,1,0,10,3,0,0,1,0,9,0,1,2,0,0,5,0,2,0,3,0,0,0,15,1,3,3,0,3,1,0,0,0,0,3,0,6,3,0,2,4,0,0,14,EL2012,5950,8318,1643,471,2114,0.254147632,0,EL12_037,1,0,26,C,26_C,JA,MOCK,A1,JAC,5,2,y,n,n,n,1,1,687781,5.837450002,1
4,EL12_050,0,0,4037,0,0,0,0,0,0,0,0,0,0,512,632,0,0,4,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,51,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,29,0,0,21,0,20,0,0,0,0,29,16,0,29,0,0,23,0,0,0,0,19,26,0,22,0,0,0,0,0,19,22,0,EL2012,5682,12261,5828,474,6302,0.51398744,0,EL12_050,1,0,14,C,14_C,JA,MOCK,C1,JAC,7,2,n,n,y,n,1,1,192336912,8.28406264,2
5,EL12_052,63,5261,0,0,0,6,0,9,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,26,13,11,0,21,0,0,0,34,0,0,0,19,18,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,5,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,15,EL2012,5707,5887,28,8,36,0.006115169,0,EL12_052,1,0,26,C,26_C,JA,MOCK,C1,JAC,8,1Frag,y,n,n,y,1,2,8626761,6.935847744,1
6,EL12_065,14,0,5,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,5,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,335,7293,2286,4589,6875,0.942684766,0,EL12_065,1,0,35,C,35_C,JA,MOCK,A1,JAC,5,2,yn,n,n,n,0,0,1261969,6.101048713,3
7,EL12_125,2378,1988,7,0,0,8,296,5,0,5,0,0,192,3,9,104,0,0,0,659,0,0,0,0,86,0,0,0,0,0,0,1,0,0,1,0,1,13,0,1,0,0,0,3,0,0,0,0,0,9,0,0,1,15,3,18,0,0,0,0,0,9,0,22,2,0,11,11,0,11,4,15,0,8,0,15,0,10,12,0,1,12,17,5,8,0,10,2,9,0,0,0,0,8,32,2,0,0,0,0,6,0,8,0,0,0,4,0,2,2,0,0,6,0,7,11,0,0,14,0,6,0,0,1,0,0,1,0,3,0,7,0,0,0,17,0,0,1,0,6,6,0,0,0,0,2,1,7,3,0,2,6,0,0,2,EL2012,6173,7154,409,170,579,0.080933743,0,EL12_125,1,0,16,C,16_C,JA,MOCK,C1,JAC,5,2,y,n,n,y,1,2,30625,4.486076097,2
8,EL12_126,7,6,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,28,10074,9766,267,10033,0.995930117,0,EL12_126,1,0,16,C,16_C,JA,MOCK,B1,JAC,7,2,y,n,n,n,1,1,10113,4.00487242,2
9,EL12_131,57,3054,347,0,0,4,974,11,143,0,0,0,140,153,0,4,0,0,0,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,11,1,0,0,0,0,28,0,0,1,16,0,0,2,0,0,0,0,0,0,2,0,3,2,0,0,25,19,16,0,22,5,0,0,14,0,0,3,14,13,0,3,0,14,0,17,0,1,0,0,0,53,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,7,0,4,1,0,3,1,2,0,0,9,0,3,3,0,3,3,16,1,14,0,0,2,1,5,3,0,9,0,0,0,0,1,2,0,EL2012,5507,9724,3730,96,3826,0.393459482,0,EL12_131,1,0,16,C,16_C,JA,MOCK,D1,JAC,5,2,y,y,n,y,1,3,77180,4.887504434,4
10,EL12_158,5527,519,84,0,0,109,207,1,5,4,0,0,9,26,52,197,0,15,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,6,63,0,1,6,0,7,40,0,0,0,45,0,0,2,0,0,0,0,1,3,2,33,6,0,0,0,0,26,72,32,0,1,8,18,9,4,0,1,0,4,0,27,0,4,26,0,0,2,2,1,27,16,4,0,2,13,0,0,0,21,1,0,0,57,0,0,1,1,8,9,0,0,5,0,8,7,0,0,17,54,2,15,0,0,6,3,0,0,0,0,0,1,0,0,15,3,0,0,1,1,7,0,0,2,1,4,13,9,0,0,1,1,0,1,13,0,10,9,0,1,0,EL2012,7732,13639,1145,4169,5314,0.389618007,0,EL12_158,1,0,17,C,17_C,JA,MOCK,D1,JAC,11,2,y,n,y,n,1,2,454738,5.657761471,7
