plot	tx	condition	quadrant	stem.num	height	n.leaves	n.stips	n.stip.leaves	n.mines	n.mined.leaves
2	TX	JA	A	1	20	8	29	4	0	0
2	TX	JA	A	2	16	9	1	1	0	0
2	TX	JA	A	3	18	7	3	1	0	0
2	TX	JA	A	4	23	10	0	0	0	0
2	TX	JA	B	1	19	7	0	0	0	0
2	TX	JA	B	2	32	11	10	1	0	0
2	TX	JA	B	4	14	8	0	0	0	0
2	TX	JA	C	1	28.6	13	13	2	0	0
2	TX	JA	C	2	21.5	10	11	5	0	0
2	TX	JA	C	3	19.5	10	21	5	0	0
2	TX	JA	C	4	19.7	11	5	1	0	0
2	TX	JA	D	1	24.5	10	8	2	0	0
2	TX	JA	D	2	19	9	1	1	0	0
2	TX	JA	D	3	27.2	10	3	3	0	0
2	TX	JA	D	4	14.2	6	0	0	1	1
2	MOCK	JA	A	1	21	10	12	5	3	3
2	MOCK	JA	A	2	26	13	35	6	4	3
2	MOCK	JA	A	3	27	10	30	4	2	1
2	MOCK	JA	A	4	36	12	22	4	2	1
2	MOCK	JA	B	1	25	15	8	2	0	0
2	MOCK	JA	B	2	27	9	27	5	0	0
2	MOCK	JA	B	3	30	10	5	1	2	1
2	MOCK	JA	B	4	26	12	15	5	6	5
2	MOCK	JA	C	1	21	7	11	4	1	1
2	MOCK	JA	C	2	23	10	32	4	0	0
2	MOCK	JA	C	3	21	9	6	3	0	0
2	MOCK	JA	C	4	20	8	14	3	0	0
2	MOCK	JA	D	1	24	12	13	3	1	1
2	MOCK	JA	D	2	19	10	7	2	0	0
2	MOCK	JA	D	3	2	10	25	5	4	4
2	MOCK	JA	D	4	17	10	16	4	5	3
4	TX	SA	A	1	27.2	15	6	3	8	6
4	TX	SA	A	2	27.5	9	0	0	4	4
4	TX	SA	A	3	23.5	13	4	1	6	4
4	TX	SA	A	4	23.9	14	7	2	9	5
4	TX	SA	B	1	24.7	14	7	3	4	3
4	TX	SA	B	2	27	19	1	1	11	5
4	TX	SA	B	3	25.1	17	9	3	9	6
4	TX	SA	B	4	28	20	5	4	7	6
4	TX	SA	C	1	26	15	31	5	7	3
4	TX	SA	C	2	23	13	47	6	11	5
4	TX	SA	C	3	30.5	20	33	7	7	5
4	TX	SA	C	4	18	11	23	7	7	4
4	TX	SA	D	1	27	14	21	7	4	4
4	TX	SA	D	2	22.5	11	9	3	14	6
4	TX	SA	D	3	18	8	3	2	7	6
4	TX	SA	D	4	18	11	6	3	5	3
4	MOCK	SA	A	1	15	10	16	5	0	0
4	MOCK	SA	A	2	22	12	0	0	0	0
4	MOCK	SA	A	3	13	9	0	0	0	0
4	MOCK	SA	A	4	13	9	8	2	0	0
4	MOCK	SA	B	1	11	7	0	0	0	0
4	MOCK	SA	B	2	18	21	3	2	0	0
4	MOCK	SA	B	3	25	13	2	2	0	0
4	MOCK	SA	B	4	23	14	16	4	0	0
4	MOCK	SA	C	1	11	7	0	0	0	0
4	MOCK	SA	C	2	16	10	13	5	0	0
4	MOCK	SA	C	3	28	19	8	5	3	3
4	MOCK	SA	C	4	28	15	38	5	3	3
4	MOCK	SA	D	1	23	21	0	0	2	1
4	MOCK	SA	D	2	19	18	19	3	1	1
4	MOCK	SA	D	3	25	11	16	2	0	0
4	MOCK	SA	D	4	19	8	0	0	0	0
6	TX	CTR	A	1	27	13	3	2	1	1
6	MOCK	CTR	D	1	38	16	18	9	0	0
6	MOCK	CTR	D	2	25	22	13	3	2	2
6	MOCK	CTR	D	3	46	27	23	4	3	3
6	TX	CTR	B	1	29	11	10	2	0	0
6	TX	CTR	B	2	21	18	5	2	2	2
6	TX	CTR	B	3	25	17	8	4	0	0
6	TX	CTR	B	4	17	6	4	3	1	1
6	TX	CTR	C	1	37	17	14	5	2	2
6	TX	CTR	C	2	31	16	22	8	1	1
6	TX	CTR	C	3	31	17	6	2	0	0
6	TX	CTR	C	4	18	4	6	2	3	2
6	TX	CTR	D	1	40	25	16	2	2	2
6	TX	CTR	D	2	36	10	7	2	1	1
6	TX	CTR	D	3	25	8	6	2	0	0
6	TX	CTR	D	4	21	7	6	2	0	0
6	MOCK	CTR	D	4	21	9	2	1	0	0
6	TX	CTR	A	2	41	21	2	1	1	1
6	TX	CTR	A	3	22	10	7	3	0	0
6	TX	CTR	A	4	25	8	6	2	2	2
6	MOCK	CTR	B	1	24	11	10	2	0	0
6	MOCK	CTR	B	2	21	7	5	3	2	2
6	MOCK	CTR	B	3	26	12	7	3	0	0
6	MOCK	CTR	B	4	22	10	3	1	3	3
6	MOCK	CTR	C	1	40	19	25	4	1	1
6	MOCK	CTR	C	2	43	21	41	10	2	2
6	MOCK	CTR	C	3	29	11	10	3	0	0
6	MOCK	CTR	C	4	23	13	16	6	0	0
6	MOCK	CTR	A	1	8	8	2	2	1	1
6	MOCK	CTR	A	2	28	11	4	3	1	1
6	MOCK	CTR	A	3	16	9	6	4	2	1
6	MOCK	CTR	A	4	25	11	10	4	0	0
7	MOCK	CTR	A	1	15	12	0	0	1	1
7	MOCK	CTR	A	2	12	11	0	0	2	2
7	MOCK	CTR	A	3	13	7	0	0	2	2
7	MOCK	CTR	A	4	29	9	0	0	1	1
7	MOCK	CTR	B	1	13	9	0	0	0	0
7	MOCK	CTR	B	2	12	10	0	0	3	3
7	MOCK	CTR	B	3	17	12	0	0	2	2
7	MOCK	CTR	B	4	14	8	0	0	0	0
7	MOCK	CTR	C	1	14	9	0	0	2	2
7	MOCK	CTR	C	2	29	8	0	0	0	0
7	MOCK	CTR	C	3	12	5	0	0	0	0
7	MOCK	CTR	C	4	25	13	0	0	0	0
7	MOCK	CTR	D	1	19	12	0	0	0	0
7	MOCK	CTR	D	2	22	8	45	1	0	0
7	MOCK	CTR	D	3	14	8	0	0	2	2
7	MOCK	CTR	D	4	16	11	0	0	0	0
7	TX	CTR	A	1	28	11	NA	2	3	3
7	TX	CTR	A	2	26	11	0	0	3	3
7	TX	CTR	A	3	26	14	0	0	3	3
7	TX	CTR	A	4	19	12	0	1	0	0
7	TX	CTR	B	1	24	13	0	0	5	5
7	TX	CTR	B	2	16	11	0	0	3	3
7	TX	CTR	B	3	22	10	0	0	3	4
7	TX	CTR	B	4	21	11	0	0	2	2
7	TX	CTR	C	1	21	10	0	0	1	1
7	TX	CTR	C	2	17	10	0	0	2	2
7	TX	CTR	C	3	27	12	0	0	1	1
7	TX	CTR	C	4	23	7	0	0	1	1
