"samples"	"is.in_sample_prep_sheet"	"ROW_TOTALS"	"total"	"contam"	"prop_c"	"PlotNum"	"PlotCond"	"SubPlot"	"LeafPos"	"sample_mass"	"herb.dmg"	"LeafCFU"	"logLeafCFU"	"stem.tx"	"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"	"ROW_TOTALS_1perc"
"1"	"EL12_087"	1	63	5810	5747	0.978545888	4	"SA"	"C1"	NA	0.01529	1	0	0	"MC"	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	59
"2"	"EL12_142"	1	90	6536	6446	0.973568947	15	"SA"	"A1"	NA	0.02249	1	0	0	"MC"	6	1	1	0	0	0	0	0	0	0	1	8	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	51
"3"	"EL12_140"	1	3144	7470	4326	0.563795126	15	"SA"	"C1"	NA	0.04723	0	0	0	"SATX"	116	422	0	0	832	113	328	0	0	767	1	0	0	0	507	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	4	1	0	8	6	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	5	3121
"4"	"EL12_045"	1	477	7351	6874	0.916655554	31	"SA"	"D1"	11	0.04049	0	0	0	"SATX"	4	8	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	23	0	0	0	0	0	0	3	0	0	0	0	1	477
"5"	"EL12_116"	1	902	16031	15129	0.938465356	7	"M"	"D1"	10	0.03723	1	0	0	"MC"	86	14	0	0	494	0	43	1	0	0	0	21	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	3	0	0	4	689
"6"	"EL12_240"	1	155	7959	7804	0.978312649	4	"SA"	"A1"	9	0.02973	1	0	0	"SATX"	81	0	0	0	0	0	5	9	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	112
"7"	"EL12_138"	1	307	7853	7546	0.955552742	12	"SA"	"B1"	9	0.05261	1	0	0	"SATX"	78	169	0	2	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	297
"8"	"EL12_049"	1	38	4548	4510	0.986439195	14	"JA"	"C1"	9	0.03047	0	0	0	"JATX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	32
"9"	"EL12_086"	1	2042	12037	9995	0.820203512	10	"M"	"C3"	NA	0.02838	1	NA	NA	"MC"	420	1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	142	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	19	2002
"10"	"EL12_206"	1	116	9436	9320	0.984056594	18	"M"	"D1"	9	0.02416	1	0	0	"MC"	79	14	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	109
