samples,plot_num,sub_plot_tx,sp_id,plot_cond,sp_cond,sp,tx_full,leaf_pos,sample_type,sample_mass,DmgB,DmgC,DmgM,DmgS,herb_dmg,n_dmg_types,LeafCFU,logLeafCFU,morphotypes,stem_tx
EL12_087,4,C,4_C,SA,MOCK,C1,SAC,NA,Half Leaf,0.01529,n,y,n,n,1,1,0,NA,0,MC
EL12_142,15,C,15_C,SA,MOCK,A1,SAC,NA,Half Leaf,0.02249,y,n,n,y,1,2,0,NA,0,MC
EL12_140,15,TX,15_TX,SA,SA,C1,SATX,NA,2,0.04723,n,n,n,n,0,0,0,NA,0,SATX
EL12_045,31,TX,31_TX,SA,SA,D1,SATX,11,2,0.04049,n,n,n,n,0,0,0,NA,0,SATX
EL12_116,7,TX,7_TX,M,MOCK,D1,MTX,10,2,0.03723,y,n,n,n,1,1,0,NA,0,MC
EL12_240,4,TX,4_TX,SA,SA,A1,SATX,9,2,0.02973,n,y,n,n,1,1,0,NA,0,SATX
EL12_138,12,TX,12_TX,SA,SA,B1,SATX,9,2,0.05261,y,n,n,n,1,1,0,NA,0,SATX
EL12_049,14,TX,14_TX,JA,JA,C1,JATX,9,Half Leaf,0.03047,n,n,n,n,0,0,0,NA,0,JATX
EL12_086,10,TX,10_TX,M,MOCK,C3,MTX,NA,Whole Leaf,0.02838,y,n,n,n,1,1,NA,NA,NA,MC
EL12_206,18,C,18_C,M,MOCK,D1,MC,9,2,0.02416,y,n,n,y,1,2,0,NA,0,MC
EL12_102,11,C,11_C,M,MOCK,A1,MC,8,Half Leaf,0.02415,n,n,n,n,0,0,0,NA,0,MC
EL12_047,14,C,14_C,JA,MOCK,D1,JAC,8,2,0.0465,n,n,n,n,0,0,0,NA,0,MC
EL12_054,14,TX,14_TX,JA,JA,D1,JATX,8,2,0.03244,n,n,n,n,0,0,0,NA,0,JATX
EL12_176,20,TX,20_TX,SA,SA,B1,SATX,8,Half Leaf,0.02617,NA,NA,n,n,0,0,0,NA,0,SATX
EL12_067,35,C,35_C,JA,MOCK,D1,JAC,8,Half Leaf,0.03561,n,n,n,n,0,0,0,NA,0,MC
EL12_144,13,TX,13_TX,M,MOCK,B1,MTX,NA,Whole Leaf,0.0358,n,n,n,n,0,0,NA,NA,NA,MC
EL12_096,10,TX,10_TX,M,MOCK,A1,MTX,7,2,0.04148,y,n,n,n,1,1,0,NA,0,MC
EL12_042,31,C,31_C,SA,MOCK,B1,SAC,7,2,0.0413,n,n,n,n,0,0,0,NA,0,MC
EL12_130,16,TX,16_TX,JA,JA,D1,JATX,6,2,0.03641,y,n,n,n,1,1,0,NA,0,JATX
EL12_113,15,C,15_C,SA,MOCK,B1,SAC,NA,Whole Leaf,0.03552,n,n,n,n,0,0,NA,NA,NA,MC
EL12_080,4,C,4_C,SA,MOCK,A1,SAC,5,2,0.01696,y,y,n,y,1,3,0,NA,0,MC
EL12_063,35,C,35_C,JA,MOCK,B1,JAC,4,2,0.0302,n,y,y,n,1,2,0,NA,0,MC
EL12_059,36,TX,36_TX,M,MOCK,D1,MTX,4,2,0.03897,y,n,n,n,1,1,0,NA,0,MC
EL12_046,31,TX,31_TX,SA,SA,C1,SATX,3,2,0.03689,n,n,n,n,0,0,0,NA,0,SATX
EL12_081,10,C,10_C,M,MOCK,D1,MC,4,2,0.03761,y,n,n,n,1,1,1786.187699,3.251927094,4,MC
EL12_008,2,TX,2_TX,JA,JA,A1,JATX,3,2,NA,n,NA,NA,NA,0,0,271647.3073,5.434005404,2,JATX
EL12_003,2,C,2_C,JA,MOCK,C1,JAC,5,2,NA,y,NA,NA,NA,1,1,6614.917314,3.82052442,2,MC
EL12_225,39,C,39_C,JA,MOCK,A1,JAC,14,Whole Leaf,0.01133,y,y,n,n,1,2,NA,NA,NA,MC
