"samples"	"Sphingomonas1"	"Pseudomonas1"	"Caloribacterium1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Pseudomonas4"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Sphingomonas3"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Pseudomonas7"	"Sphingomonas4"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Planctomicrobium"	"Microbacteriaceae3"	"Sphingomonas5"	"Gaetbulimicrobium1"	"Microbacteriaceae4"	"Pseudomonas8"	"Gaetbulimicrobium2"	"Aureimonas"	"Sphingomonadaceae"	"Pseudomonas9"	"Puniceicoccus1"	"Massilia4"	"Polaromonas"	"Pseudomonas10"	"Janthinobacterium"	"Pseudomonas11"	"Acinetobacter"	"Pseudomonas12"	"Neorhizobium"	"Acetobacteraceae3"	"Pseudomonas13"	"Pseudomonas14"	"Methylobacterium2"	"Sphingomonas6"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Puniceicoccus2"	"Flavobacterium"	"Sphingomonas7"	"Hymenobacter1"	"Sphingomonas8"	"Pedobacter3"	"Caloribacterium2"	"Sphingomonas9"	"Sphingomonas11"	"Persicirhabdus"	"Pseudomonas15"	"Pseudomonas29"	"Pseudomonas21"	"Pseudomonas24"	"Pseudomonas16"	"Massilia5"	"Sphingomonas10"	"Arthrobacter"	"Pseudomonas17"	"Sphingomonas12"	"Pseudomonas20"	"Comamonas"	"Pseudomonas19"	"Pseudomonas18"	"Brevundimonas"	"Sphingomonas13"	"Hymenobacter2"	"Pseudomonas22"	"Duganella2"	"Pseudomonas23"	"Hymenobacter3"	"Pseudomonas25"	"Rhizobium2"	"Staphylococcus"	"Sphingomonas14"	"Pseudomonas26"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Acetobacteraceae4"	"Pseudomonas27"	"Pseudomonas28"	"Thermoproteus"	"Sphingomonas15"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Rhizobium3"	"Pedobacter5"	"Sphingomonas17"	"Pseudomonas35"	"Sphingomonas16"	"Sphingomonas18"	"Hymenobacter4"	"Pseudomonas32"	"Sphingomonas19"	"Epilithonimonas"	"Ramlibacter2"	"Sphingomonas21"	"Caloribacterium3"	"Pseudomonas31"	"Paenibacillus"	"Caloribacterium4"	"Pseudomonas33"	"Sphingomonas20"	"Caloribacterium5"	"Pseudomonas34"	"Caloribacterium6"	"Sphingomonas22"	"Methylobacterium3"	"Pseudomonas36"	"Cloacibacterium"	"Caloribacterium7"	"Caloribacterium8"	"Pseudomonas37"	"Caloribacterium9"	"Massilia6"	"Massilia7"	"Caloribacterium10"	"Massilia8"	"Sphingomonas23"	"Sphingomonas24"	"Methylobacterium4"	"Caloribacterium11"	"Caloribacterium12"	"Pseudomonas39"	"Microbacteriaceae5"	"Pseudomonas38"	"Sphingomonas25"	"Pseudomonas40"	"Sphingomonas26"	"Sphingomonas27"	"Phycisphaera"	"Caloribacterium13"	"Pseudomonas41"	"dataset.x"	"ROW_TOTALS"	"total"	"mtDNA"	"cpDNA"	"contam"	"prop_c"	"controls"	"in_MED"	"TOT_MED"	"n.post"	"n.pre"	"n.contam"	"prop.contam"	"n.otus"	"PlotNum"	"SubPlotTx"	"PlotCond"	"txfull"	"SampType"	"DmgM"	"DmgAny"	"NDmgTypes"
"1"	"NPB13_001_CD"	320	1063	662	1	186	5	6	190	4	0	0	3559	0	11	5	11	0	1	0	0	0	0	0	0	11	0	0	0	11	1107	0	0	0	256	2	0	0	9	0	0	0	339	0	0	1	23	0	1	0	1	0	0	0	15	0	2	0	0	63	0	0	0	0	1	0	11	22	0	0	11	4	7	1	7	0	2	0	5	1	0	0	7	8	0	3	0	7	0	1	0	244	0	0	0	1	0	3	0	0	1	3	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	8	5	0	2	0	0	2	0	0	2	0	4	0	3	2	4	5	0	0	3	0	0	0	0	1	1	4	0	3	1	0	0	0	5	2	4	"NPB2013"	8292	9858	1045	22	1067	0.108236964901603	"0"	"NPB13_001_CD"	8296	10427	23435	13008	0.5551	141	1	"C"	"JA"	"JAC"	"4L"	"y"	1	1
"2"	"NPB13_001_CU"	19	34	50	0	0	10	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"NPB2013"	153	8076	4076	3808	7884	0.976225854383358	"0"	"NPB13_001_CU"	153	205	18305	18100	0.9888	42	1	"C"	"JA"	"JAC"	"4L"	"n"	0	0
"3"	"NPB13_001_TD"	633	2496	985	0	2160	59	28	244	2694	0	1	1	6	35	609	21	0	3	56	13	0	0	0	9	19	0	0	0	147	4890	0	0	0	29	8	0	1	28	0	0	2	1	0	0	0	9	5	9	0	0	0	0	6	20	0	5	4	0	319	0	11	6	0	8	0	19	17	2	0	13	13	47	5	12	147	2	0	7	1	13	0	13	14	3	3	0	13	2	17	0	0	0	0	1	63	0	7	5	0	103	12	7	0	0	0	0	0	3	0	4	34	0	0	0	7	2	336	0	4	10	6	0	10	0	0	5	0	6	2	0	6	0	4	6	10	4	36	0	6	1	0	0	0	5	1	27	3	3	0	11	2	1	4	2	1	"NPB2013"	16703	19911	1367	7	1374	0.0690070815127317	"0"	"NPB13_001_TD"	16707	24915	33385	8470	0.2537	410	1	"TX"	"JA"	"JATX"	"4L"	"y"	1	1
"4"	"NPB13_001_TU"	282	110	90	0	58	0	80	19	0	0	0	6	29	3	0	21	0	0	0	0	0	0	0	0	12	0	0	0	0	8	0	0	0	1	0	0	30	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	1	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	2	1	0	"NPB2013"	801	8986	4227	3551	7778	0.865568662363677	"0"	"NPB13_001_TU"	801	1500	21077	19577	0.9288	82	1	"TX"	"JA"	"JATX"	"4L"	"n"	0	0
"5"	"NPB13_002_CD"	0	7	3608	0	0	3	0	0	0	0	7	124	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	20	0	0	23	0	31	0	0	0	0	26	18	0	19	0	0	22	0	0	0	0	19	27	0	0	0	0	0	0	0	19	21	0	"NPB2013"	4119	10101	5370	353	5723	0.566577566577567	"0"	"NPB13_002_CD"	4147	491	12451	11960	0.9606	55	2	"C"	"SA"	"SAC"	"4L"	"y"	1	1
"6"	"NPB13_002_CU"	29	6	25	0	0	0	0	0	0	15	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"NPB2013"	90	8964	3157	5686	8843	0.986501561802767	"0"	"NPB13_002_CU"	90	128	28085	27957	0.9954	31	2	"C"	"SA"	"SAC"	"4L"	"n"	0	0
"7"	"NPB13_002_TD"	10	237	1766	0	2383	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	4	4	0	2	0	0	0	0	0	3	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	7	0	14	0	0	6	0	0	6	0	20	0	0	4	0	11	12	0	13	0	0	7	0	0	0	0	8	9	1	0	2	0	0	0	0	7	14	0	"NPB2013"	4638	13801	4587	4372	8959	0.64915585827114	"0"	"NPB13_002_TD"	4650	3596	39520	35924	0.909	72	2	"TX"	"SA"	"SATX"	"4L"	"y"	1	1
"8"	"NPB13_002_TU"	0	6	2	0	10	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"NPB2013"	35	7415	2713	4644	7357	0.99217801753203	"0"	"NPB13_002_TU"	35	97	24716	24619	0.9961	24	2	"TX"	"SA"	"SATX"	"4L"	"n"	0	0
"9"	"NPB13_006_CD"	3934	5435	11	0	24	15	14	129	213	38	100	0	269	0	15	153	0	2	4	16	0	0	0	0	69	0	0	0	0	1	0	1	0	0	9	0	4	59	0	20	9	0	0	3	17	0	1	2	0	0	129	0	3	26	0	36	1	0	0	0	0	19	0	21	1	0	44	20	1	39	15	13	0	33	14	26	0	29	16	1	0	29	32	49	15	0	20	53	29	0	1	19	0	16	21	34	0	12	0	0	8	0	14	0	0	0	3	38	0	11	1	3	8	0	21	13	0	0	4	0	18	0	0	1	1	0	44	0	10	0	16	0	0	0	31	0	4	0	0	0	13	12	0	0	0	4	6	9	8	0	7	7	0	0	1	"NPB2013"	11700	14088	1037	141	1178	0.0836172629187961	"0"	"NPB13_006_CD"	11700	16322	36624	20302	0.5543	285	6	"C"	"JA"	"JAC"	"4L"	"y"	1	1
"10"	"NPB13_006_CU"	123	26	11	0	4	21	6	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	"NPB2013"	248	16476	13575	2593	16168	0.981306142267541	"0"	"NPB13_006_CU"	251	377	23822	23445	0.9842	37	6	"C"	"JA"	"JAC"	"3L"	"n"	0	0
