plot	region	condition	tx	subplot	txfull	stem.num	height	n.leaves	n.mines	n.mined.leaves	n.fruits
1	A	JA	TX	1_B	JA_TX	A1	19	9	2	2	0
1	A	JA	TX	1_B	JA_TX	A2	13	7	2	2	0
1	A	JA	TX	1_B	JA_TX	A3	15	7	3	2	0
1	A	JA	TX	1_B	JA_TX	A4	13	6	2	2	0
1	A	JA	TX	1_B	JA_TX	B1	20	7	3	3	1
1	A	JA	TX	1_B	JA_TX	B2	10	8	2	2	0
1	A	JA	TX	1_B	JA_TX	B3	11	7	1	1	0
1	A	JA	TX	1_B	JA_TX	B4	13	8	1	1	0
1	A	JA	TX	1_B	JA_TX	C1	12	6	1	1	0
1	A	JA	TX	1_B	JA_TX	C2	10	5	1	1	0
1	A	JA	TX	1_B	JA_TX	C3	12	9	2	2	0
1	A	JA	TX	1_B	JA_TX	C4	17	9	4	4	3
1	A	JA	TX	1_B	JA_TX	D1	12	7	3	3	0
1	A	JA	TX	1_B	JA_TX	D2	14	7	2	2	0
1	A	JA	TX	1_B	JA_TX	D3	12	7	0	0	0
1	A	JA	TX	1_B	JA_TX	D4	9	4	0	0	0
1	A	JA	MOCK	1_A	JA_MOCK	A1	24	8	1	1	0
1	A	JA	MOCK	1_A	JA_MOCK	A2	17	6	2	2	1
1	A	JA	MOCK	1_A	JA_MOCK	A3	27	6	5	4	9
1	A	JA	MOCK	1_A	JA_MOCK	A4	13	8	7	7	0
1	A	JA	MOCK	1_A	JA_MOCK	B1	15	8	2	2	0
1	A	JA	MOCK	1_A	JA_MOCK	B2	15	8	2	2	0
1	A	JA	MOCK	1_A	JA_MOCK	B3	26	7	7	6	8
1	A	JA	MOCK	1_A	JA_MOCK	B4	20	6	4	3	2
1	A	JA	MOCK	1_A	JA_MOCK	C1	20	7	3	3	0
1	A	JA	MOCK	1_A	JA_MOCK	C2	21	8	1	1	0
1	A	JA	MOCK	1_A	JA_MOCK	C3	21	6	3	3	5
