sample,sample_mass,plot_num,sub_plot_tx,sp_cond,plot_cond,tx_full,herb_dmg,stem_tx
NPB13_036_CU,0.088,36,C,MOCK,JA,JAC,0,MC
NPB13_024_TD,0.0945,24,TX,SA,SA,SATX,1,SATX
NPB13_046_CU,0.0881,46,C,MOCK,JA,JAC,0,MC
NPB13_002_TU,0.115,2,TX,SA,SA,SATX,0,SATX
NPB13_024_CD,0.0404,24,C,MOCK,SA,SAC,0,MC
NPB13_035_CD,0.0929,35,C,MOCK,M,MC,1,MC
NPB13_036_TU,0.1001,36,TX,JA,JA,JATX,0,JATX
NPB13_024_CU,0.028,24,C,MOCK,SA,SAC,0,MC
NPB13_009_TU,0.0729,9,TX,MOCK,M,MTX,0,MC
NPB13_039_TU,0.0638,39,TX,MOCK,M,MTX,0,MC
NPB13_036_TD,0.0544,36,TX,JA,JA,JATX,1,JATX
NPB13_058_CU,0.102,58,C,MOCK,M,MC,0,MC
NPB13_002_CU,0.103,2,C,MOCK,SA,SAC,0,MC
NPB13_033_TU,0.0973,33,TX,SA,SA,SATX,0,SATX
NPB13_042_TU,0.0844,42,TX,SA,SA,SATX,0,SATX
NPB13_054_TD,0.0213,54,TX,SA,SA,SATX,1,SATX
NPB13_037_CU,0.087,37,C,MOCK,SA,SAC,0,MC
NPB13_035_CU,0.0949,35,C,MOCK,M,MC,0,MC
NPB13_042_CD,0.0418,42,C,MOCK,SA,SAC,0,MC
NPB13_001_CU,0.096,1,C,MOCK,JA,JAC,0,MC
NPB13_032_CU,0.095,32,C,MOCK,SA,SAC,0,MC
NPB13_060_CU,0.77,60,C,MOCK,SA,SAC,0,MC
NPB13_051_CU,0.11,51,C,MOCK,SA,SAC,0,MC
NPB13_017_CU,0.085,17,C,MOCK,JA,JAC,0,MC
NPB13_044_CU,0.0906,44,C,MOCK,JA,JAC,0,MC
NPB13_057_TU,0.0804,57,TX,MOCK,M,MTX,0,MC
NPB13_040_CU,0.0727,40,C,MOCK,SA,SAC,0,MC
NPB13_024_TU,0.0846,24,TX,SA,SA,SATX,0,SATX
NPB13_041_TU,0.091,41,TX,MOCK,M,MTX,0,MC
NPB13_045_CU,0.0955,45,C,MOCK,JA,JAC,0,MC
NPB13_060_TD,0.083,60,TX,SA,SA,SATX,1,SATX
NPB13_006_CU,0.07,6,C,MOCK,JA,JAC,0,MC
NPB13_038_TU,0.0893,38,TX,JA,JA,JATX,0,JATX
NPB13_017_TU,0.0605,17,TX,JA,JA,JATX,0,JATX
NPB13_037_TU,0.0388,37,TX,SA,SA,SATX,0,SATX
NPB13_056_CU,0.092,56,C,MOCK,SA,SAC,0,MC
NPB13_008_TU,0.106,8,TX,SA,SA,SATX,0,SATX
NPB13_058_TD,0.086,58,TX,MOCK,M,MTX,1,MC
NPB13_006_TU,0.116,6,TX,JA,JA,JATX,0,JATX
