taxon_1perc	prev_EL	count_EL	abund_EL	prev_NPB	count_NPB	abund_NPB
Sphingomonas1	0.922	153	312068	0.924	145	58214
Pseudomonas1	0.94	156	258786	0.994	156	378983
Acetobacteraceae1	0.042	7	15	0.096	15	27
Pseudomonas2	0.319	53	30094	0.752	118	48673
Pseudomonas3	0.693	115	52839	0.662	104	9821
Massilia1	0.711	118	31301	0.293	46	1061
Massilia2	0.608	101	49191	0.465	73	9509
Sphingomonas2	0.464	77	8168	0.312	49	2308
Xanthomonas	0.078	13	595	0.14	22	306
Pseudomonas5	0.373	62	12903	0.758	119	41787
Duganella1	0.5	83	10138	0.529	83	15038
Microbacteriaceae2	0.627	104	16542	0.446	70	1082
Microbacteriaceae1	0.428	71	19313	0.541	85	10361
Geobacillus	0.036	6	7	0.045	7	20
Clavibacter	0.325	54	13486	0.07	11	29
Pseudomonas6	0.127	21	2217	0.548	86	15140
Massilia3	0.404	67	4016	0.338	53	1882
Pedobacter1	0.151	25	20144	0.045	7	66
Acetobacteraceae2	0.024	4	4	0.006	1	1
Anoxybacillus	0.072	12	22	0.064	10	182
Rhizobium1	0.024	4	22	0.019	3	12
Pseudaminobacter	0.084	14	13220	0.013	2	2
Hyphomicrobium	0.434	72	7684	0.013	2	2
Chryseobacterium1	0.078	13	2134	0.121	19	4184
Chryseobacterium2	0.12	20	283	0.312	49	10089
Pedobacter2	0.042	7	1604	0.006	1	1
Methylobacterium1	0.235	39	1711	0.089	14	63
Microbacteriaceae3	0.283	47	5180	0.102	16	360
Sphingomonas5	0.325	54	3527	0.312	49	4635
Aureimonas	0.271	45	732	0.127	20	84
Sphingomonadaceae	0.235	39	732	0.07	11	40
Polaromonas	0.325	54	973	0.357	56	1940
Janthinobacterium	0.042	7	15	0.382	60	5899
Acinetobacter	0.012	2	3	0.019	3	5
Neorhizobium	0.066	11	2337	0.102	16	681
Pseudomonas13	0.265	44	1659	0.312	49	965
Methylobacterium2	0.096	16	318	0.025	4	17
Rhodococcus	0.253	42	1175	0.14	22	135
Escherichia	0.319	53	663	0.083	13	39
Chryseobacterium3	0.096	16	288	0.217	34	3793
Flavobacterium	0.024	4	5	0.166	26	3218
Hymenobacter1	0.145	24	1312	0.013	2	3
Pedobacter3	0.12	20	567	0.191	30	1335
Sphingomonas9	0.5	83	3092	0.389	61	811
Pseudomonas24	0.108	18	521	0.185	29	672
Massilia5	0.343	57	1486	0.185	29	518
Arthrobacter	0.114	19	1075	0.102	16	235
Comamonas	0.5	83	839	0.414	65	338
Brevundimonas	0.139	23	191	0.197	31	439
Duganella2	0.042	7	192	0.28	44	1220
Rhizobium3	0.096	16	328	0.153	24	271
Staphylococcus	0.253	42	378	0.204	32	278
Devosia	0.096	16	89	0.197	31	235
Pseudomonas30	0.229	38	399	0.191	30	422
Pedobacter4	0.078	13	1021	0.083	13	431
Lactococcus	0.434	72	1843	0.064	10	30
Enterococcus	0.036	6	1736	0.013	2	4
Sanguibacter	0.072	12	1208	0.006	1	2
Ramlibacter1	0.114	19	324	0.076	12	16
Pedobacter5	0.108	18	142	0.108	17	1432
Hymenobacter4	0.12	20	540	0.019	3	15
Epilithonimonas	0.096	16	590	0.102	16	560
Ramlibacter2	0.259	43	1444	0.076	12	41
Paenibacillus	0.139	23	1359	0.019	3	4
Cloacibacterium	0.199	33	610	0.134	21	313
Pseudomonas37	0.337	56	903	0.274	43	264
Sphingomonas24	0.066	11	142	0.121	19	191
Methylobacterium4	0.392	65	585	0	0	0
Pseudomonas26	0.536	89	2353	NA	NA	NA
Hymenobacter3	0.271	45	3527	NA	NA	NA
Pseudomonas19	NA	NA	NA	0.643	101	2243
Hymenobacter2	NA	NA	NA	0.006	1	4
