genet.num	clone.num	pop
2	2	WHITE
2	1	WHITE
2	3	WHITE
6	2	WHITE
6	1	WHITE
6	4	WHITE
6	6	WHITE
6	5	WHITE
6	3	WHITE
7	2	WHITE
7	1	WHITE
7	3	WHITE
7	4	WHITE
8	6	WHITE
8	5	WHITE
8	1	WHITE
12	3	WHITE
12	5	WHITE
12	1	WHITE
12	6	WHITE
12	4	WHITE
12	2	WHITE
14	4	WHITE
14	1	WHITE
14	3	WHITE
14	5	WHITE
14	6	WHITE
15	5	WHITE
15	2	WHITE
15	4	WHITE
15	3	WHITE
16	3	WHITE
16	4	WHITE
16	2	WHITE
16	1	WHITE
17	2	WHITE
17	5	WHITE
17	6	WHITE
17	4	WHITE
17	1	WHITE
17	3	WHITE
18	1	RED
18	2	RED
18	7	RED
18	5	RED
18	3	RED
18	6	RED
18	4	RED
21	6	RED
21	2	RED
21	5	RED
21	4	RED
21	3	RED
21	1	RED
22	5	RED
22	3	RED
22	6	RED
22	4	RED
22	1	RED
35	7	BLUE
35	4	BLUE
35	6	BLUE
35	5	BLUE
35	2	BLUE
35	1	BLUE
36	4	BLUE
36	3	BLUE
36	5	BLUE
36	6	BLUE
36	2	BLUE
36	1	BLUE
37	5	BLUE
37	7	BLUE
37	4	BLUE
37	2	BLUE
37	1	BLUE
37	3	BLUE
37	6	BLUE
NA	NA	WHITE
NA	NA	ORANGE
NA	NA	ORANGE
NA	NA	BLUE
NA	NA	RED
