dataset	plot_id	point_id_old	elevation	lat	long
EL	1	1	10438.291	39.00727239	-107.0402774
EL	2	2	10439.469	39.0072623	-107.040284
EL	3	3	10439.512	39.00725683	-107.04028
EL	4	4	10438.5	39.00724043	-107.0402658
EL	5	5	10437.951	39.00723708	-107.0402501
EL	6	6	10439.223	39.00707345	-107.0403
EL	7	7	10438.632	39.00721778	-107.0402268
EL	8	8	10438.503	39.0072168	-107.0401939
EL	9	9	10437.561	39.00718144	-107.0401784
EL	10	10	10438.859	39.00717561	-107.0401929
EL	11	11	10439.013	39.00715843	-107.0402018
EL	12	12	10439.399	39.00713692	-107.0401864
EL	13	13	10439.076	39.0071249	-107.0401849
EL	14	14	10436.879	39.00711405	-107.040154
EL	15	15	10438.328	39.00710528	-107.040186
EL	16	16	10436.394	39.00709552	-107.0401751
EL	17	17	10437.541	39.00709049	-107.0401793
EL	18	18	10437.537	39.00709241	-107.0401626
EL	19	19	10441.586	39.00711618	-107.0402633
EL	20	20	10441.855	39.00713085	-107.040267
EL	21	21	10442.519	39.00708561	-107.0403294
EL	22	22	10441	39.00707407	-107.0403233
EL	23	23	10440.665	39.00706848	-107.0403184
EL	24	24	10440.179	39.00706361	-107.0403078
EL	25	25	10440.861	39.00707597	-107.0403099
EL	26	26	10440.504	39.0070519	-107.0403102
EL	27	27	10439.838	39.00704625	-107.0402895
EL	28	28	10440.535	39.00703141	-107.0402853
EL	29	29	10435.09	39.00702666	-107.0400686
EL	30	30	10434.201	39.00701648	-107.0400636
EL	31	31	10433.538	39.00698275	-107.0400635
EL	32	32	10432.344	39.00694287	-107.040043
EL	33	33	10431.582	39.00692735	-107.0400305
EL	34	34	10432.046	39.00705624	-107.0400837
EL	35	35	10432.202	39.00705524	-107.0400612
EL	36	36	10431.62	39.00689176	-107.0398503
EL	37	37	10428.443	39.00685876	-107.0398065
EL	38	38	10430.007	39.00683582	-107.0397781
EL	39	39	10428.397	39.00682987	-107.0397515
EL	40	40	10431.235	39.00681944	-107.0397386
EL	41	1	10439.832	39.00739696	-107.0402341
EL	42	1	10442.351	39.00730577	-107.0402271
EL	43	1	10439.147	39.00731197	-107.0403166
EL	44	1	10441.319	39.0073049	-107.0402651
EL	45	1	10441.183	39.00733152	-107.0403107
EL	46	1	10446.621	39.00734559	-107.0402995
EL	47	1	10442.69	39.00736102	-107.0402726
EL	48	1	10442.651	39.00743362	-107.0402493
