dataset	plot_id	point_id_old	elevation	lat	long
NP	1	1	11863.96	39.01990894	-107.0887369
NP	2	2	11862.91	39.01995887	-107.0886622
NP	3	3	11861.79	39.01998902	-107.0886516
NP	4	4	11860.81	39.0200206	-107.0886349
NP	5	6	11860.54	39.02006748	-107.0886133
NP	6	5	11860.26	39.02004293	-107.0886113
NP	7	7	11858.47	39.02010388	-107.0885419
NP	8	8	11857.83	39.02010835	-107.0885161
NP	9	9	11857.24	39.02012419	-107.0885029
NP	10	10	11855.19	39.02017866	-107.0884376
NP	11	11	11853.05	39.02020853	-107.0883698
NP	12	12	11851.26	39.0202525	-107.0883574
NP	13	13	11849.88	39.02028903	-107.0883372
NP	14	14	11847.74	39.0203522	-107.0883276
NP	15	15	11838.21	39.02060668	-107.0882253
NP	16	45	11702.53	39.02127329	-107.0873802
NP	17	44	11697.52	39.02127786	-107.0873571
NP	18	43	11693.54	39.0212937	-107.0873418
NP	19	42	11691.28	39.02128418	-107.0873088
NP	20	40	11688.04	39.02130437	-107.0872738
NP	21	41	11686.77	39.02130201	-107.0873054
NP	22	39	11685.54	39.02128854	-107.087241
NP	23	38	11682.48	39.0212965	-107.0872261
NP	24	37	11673.52	39.02132975	-107.0871773
NP	25	36	11671.62	39.02133577	-107.0872102
NP	26	35	11665.22	39.02138848	-107.0872024
NP	27	34	11661.24	39.02138428	-107.0871422
NP	28	33	11659.48	39.02140595	-107.0871679
NP	29	32	11656.03	39.02140824	-107.0871236
NP	30	31	11651.12	39.02141055	-107.0870973
NP	31	30	11646.97	39.02144195	-107.0870675
NP	32	29	11642.80	39.0214536	-107.0870414
NP	33	28	11641.71	39.02147974	-107.087076
NP	34	27	11639.37	39.02149561	-107.08704
NP	35	26	11639.30	39.0214806	-107.0870187
NP	36	24	11635.34	39.0215036	-107.0869886
NP	37	25	11635.02	39.02153142	-107.0869955
NP	38	23	11633.08	39.02151438	-107.0869632
NP	39	22	11631.96	39.02154337	-107.0869726
NP	40	21	11631.05	39.02152051	-107.0869424
NP	41	20	11610.10	39.02159247	-107.086755
NP	42	19	11603.79	39.02160244	-107.0866837
NP	43	18	11601.41	39.02161388	-107.0866628
NP	44	17	11593.93	39.02164797	-107.0866098
NP	45	16	11592.17	39.02165399	-107.0865942
NP	46	15	11496.25	39.02225503	-107.085971
NP	47	14	11485.44	39.02243176	-107.0859807
NP	48	13	11484.80	39.02244397	-107.0859699
NP	49	12	11482.68	39.02248155	-107.0859574
NP	50	11	11482.52	39.02248525	-107.0859333
NP	51	10	11479.11	39.02254566	-107.0859102
NP	52	9	11470.18	39.02259869	-107.0858448
NP	53	8	11468.75	39.02260615	-107.085831
NP	54	7	11468.50	39.02260023	-107.0858104
NP	55	6	11466.63	39.02261321	-107.0858017
NP	56	5	11463.92	39.02261132	-107.0857724
NP	57	3	11460.86	39.02265493	-107.0857338
NP	58	2	11460.38	39.02265843	-107.0857115
NP	59	4	11460.35	39.022643	-107.0857513
NP	60	1	11460.21	39.02266723	-107.0857017
