plant.id,plant.tx,log.avg.g,n.doublings,strain.id,spp,genet.num,clone.num,pop
2.2,1,7.248676259,24.07958132,20A,Psyr,2,2,WHITE
2.2,1,5.856744926,19.45568551,39A,Pfluo,2,2,WHITE
2.2,1,4.918739128,16.3396977,36A,Pfluo,2,2,WHITE
2.2,1,6.651761384,22.09667302,46B,Psyr,2,2,WHITE
2.2,1,4.629792979,15.37983937,33E,Pfluo,2,2,WHITE
2.2,1,6.912370673,22.96239834,46A,Pfluo,2,2,WHITE
2.2,1,6.385434542,21.2119544,29A,Pfluo,2,2,WHITE
2.2,1,5.308628986,17.63488377,03A,Pfluo,2,2,WHITE
2.2,1,5.332406975,17.71387254,26B,Psyr,2,2,WHITE
2.2,1,6.761117911,22.45994754,20B,Psyr,2,2,WHITE
2.2,1,9.482836299,31.50130032,22B,Psyr,2,2,WHITE
2.2,1,6.837941362,22.71514952,02A,Psyr,2,2,WHITE
36.6,2,7.067900902,23.47905858,39A,Pfluo,36,6,BLUE
36.6,2,6.0726922,20.17304683,46B,Psyr,36,6,BLUE
36.6,2,5.354103647,17.78594733,36A,Pfluo,36,6,BLUE
36.6,2,5.002609394,16.61830869,33E,Pfluo,36,6,BLUE
36.6,2,7.677462657,25.5039789,22B,Psyr,36,6,BLUE
36.6,2,5.450338942,18.10563406,20A,Psyr,36,6,BLUE
36.6,2,4.711384984,15.65088214,29A,Pfluo,36,6,BLUE
36.6,2,5.923794841,19.67842051,26B,Psyr,36,6,BLUE
36.6,2,5.997190291,19.92223492,03A,Pfluo,36,6,BLUE
36.6,2,6.54197537,21.73197178,20B,Psyr,36,6,BLUE
14.3,1,5.941752661,19.7380751,39A,Pfluo,14,3,WHITE
14.3,1,9.486886606,31.51475515,20A,Psyr,14,3,WHITE
14.3,1,5.065890179,16.82852291,36A,Pfluo,14,3,WHITE
14.3,1,6.510393034,21.62705753,33E,Pfluo,14,3,WHITE
14.3,1,7.062089811,23.45975455,20B,Psyr,14,3,WHITE
14.3,1,5.229553028,17.37219913,02A,Psyr,14,3,WHITE
14.3,1,6.699582118,22.25553006,26B,Psyr,14,3,WHITE
14.3,1,4.644740094,15.42949261,29A,Pfluo,14,3,WHITE
14.3,1,6.195771649,20.58190791,46A,Pfluo,14,3,WHITE
14.3,1,7.627500404,25.33800789,22B,Psyr,14,3,WHITE
14.3,1,5.850075291,19.43352947,03A,Pfluo,14,3,WHITE
14.3,1,4.940159005,16.41085299,46B,Psyr,14,3,WHITE
35.1,1,6.85503163,22.77192216,46A,Pfluo,35,1,BLUE
35.1,1,5.732444299,19.04276777,03A,Pfluo,35,1,BLUE
35.1,1,8.263889004,27.45204506,22B,Psyr,35,1,BLUE
35.1,1,6.931223663,23.02502662,39A,Pfluo,35,1,BLUE
35.1,1,5.45848732,18.13270238,33E,Pfluo,35,1,BLUE
35.1,1,5.891344789,19.57062377,29A,Pfluo,35,1,BLUE
35.1,1,6.111375145,20.30154879,02A,Psyr,35,1,BLUE
35.1,1,6.460852182,21.46248638,26B,Psyr,35,1,BLUE
35.1,1,5.125279493,17.02580994,36A,Pfluo,35,1,BLUE
35.1,1,9.697660902,32.21493221,20A,Psyr,35,1,BLUE
35.1,1,6.012438878,19.97288963,20B,Psyr,35,1,BLUE
17.2,2,4.542064446,15.08841149,39A,Pfluo,17,2,WHITE
17.2,2,5.931526594,19.70410484,46A,Pfluo,17,2,WHITE
17.2,2,4.918456312,16.33875821,36A,Pfluo,17,2,WHITE
17.2,2,3.144480844,10.44573926,46B,Psyr,17,2,WHITE
17.2,2,3.83024162,12.72378725,33E,Pfluo,17,2,WHITE
17.2,2,5.893788281,19.57874088,22B,Psyr,17,2,WHITE
17.2,2,6.417431643,21.31824647,29A,Pfluo,17,2,WHITE
17.2,2,5.054039296,16.78915513,20B,Psyr,17,2,WHITE
17.2,2,8.628547295,28.66341368,20A,Psyr,17,2,WHITE
17.2,2,6.146432148,20.41800564,02A,Psyr,17,2,WHITE
17.2,2,6.380230022,21.19466536,26B,Psyr,17,2,WHITE
18.6,2,5.390114671,17.90557336,20B,Psyr,18,6,RED
18.6,2,4.197454311,13.9436414,29A,Pfluo,18,6,RED
18.6,2,4.531283528,15.05259806,03A,Pfluo,18,6,RED
18.6,2,5.293547094,17.58478281,36A,Pfluo,18,6,RED
18.6,2,8.477622998,28.16205401,20A,Psyr,18,6,RED
18.6,2,4.812094096,15.98543057,33E,Pfluo,18,6,RED
18.6,2,6.500312917,21.5935721,39A,Pfluo,18,6,RED
18.6,2,5.397251199,17.92928039,46A,Pfluo,18,6,RED
18.6,2,6.60394101,21.93781718,22B,Psyr,18,6,RED
18.6,2,5.320370247,17.6738874,26B,Psyr,18,6,RED
18.6,2,5.263171674,17.48387785,02A,Psyr,18,6,RED
22.5,1,5.134067332,17.05500251,29A,Pfluo,22,5,RED
22.5,1,7.13792981,23.71168958,20B,Psyr,22,5,RED
22.5,1,6.652001457,22.09747053,39A,Pfluo,22,5,RED
22.5,1,5.877077405,19.52322855,36A,Pfluo,22,5,RED
22.5,1,4.761619309,15.81775696,26B,Psyr,22,5,RED
22.5,1,6.719499123,22.32169292,46A,Pfluo,22,5,RED
22.5,1,5.429902034,18.03774412,03A,Pfluo,22,5,RED
22.5,1,6.917587114,22.97972698,02A,Psyr,22,5,RED
22.5,1,4.892967089,16.25408484,33E,Pfluo,22,5,RED
22.5,1,7.453927607,24.76141153,20A,Psyr,22,5,RED
22.5,1,7.540607512,25.04935595,22B,Psyr,22,5,RED
22.5,1,5.561604688,18.47525087,46B,Psyr,22,5,RED
18.1,2,5.72258181,19.01000529,46B,Psyr,18,1,RED
18.1,2,5.462180905,18.14497221,20B,Psyr,18,1,RED
18.1,2,7.974296538,26.49003971,20A,Psyr,18,1,RED
18.1,2,4.350431503,14.45182063,36A,Pfluo,18,1,RED
18.1,2,4.564841956,15.16407674,46A,Pfluo,18,1,RED
18.1,2,4.749899349,15.7788241,02A,Psyr,18,1,RED
18.1,2,3.442091973,11.43438203,03A,Pfluo,18,1,RED
18.1,2,8.188131304,27.20038342,22B,Psyr,18,1,RED
6.4,2,6.24452387,20.74385928,46A,Pfluo,6,4,WHITE
6.4,2,7.625799851,25.33235877,02A,Psyr,6,4,WHITE
6.4,2,5.659025526,18.79887588,22B,Psyr,6,4,WHITE
6.4,2,9.675854784,32.14249385,20A,Psyr,6,4,WHITE
6.4,2,3.999132278,13.28482987,26B,Psyr,6,4,WHITE
6.4,2,5.040227677,16.74327392,33E,Pfluo,6,4,WHITE
6.4,2,2.706416487,8.990520965,29A,Pfluo,6,4,WHITE
6.4,2,5.293815815,17.58567549,36A,Pfluo,6,4,WHITE
6.4,2,6.736533016,22.37827829,20B,Psyr,6,4,WHITE
6.4,2,4.820192967,16.01233444,39A,Pfluo,6,4,WHITE
2.3,1,6.428268339,21.3542452,02A,Psyr,2,3,WHITE
2.3,1,6.221678471,20.66796851,26B,Psyr,2,3,WHITE
2.3,1,6.971553886,23.15900072,39A,Pfluo,2,3,WHITE
2.3,1,7.810603274,25.94626245,20A,Psyr,2,3,WHITE
2.3,1,6.026203075,20.0186133,46A,Pfluo,2,3,WHITE
2.3,1,7.079702712,23.51826334,20B,Psyr,2,3,WHITE
2.3,1,5.754932839,19.11747308,33E,Pfluo,2,3,WHITE
2.3,1,7.124607972,23.66743539,22B,Psyr,2,3,WHITE
2.3,1,4.384413367,14.56470594,36A,Pfluo,2,3,WHITE
2.3,1,4.718512112,15.67455795,29A,Pfluo,2,3,WHITE
2.3,1,5.433417127,18.04942101,46B,Psyr,2,3,WHITE
2.3,1,5.303979831,17.61943962,03A,Pfluo,2,3,WHITE
37.4,2,4.861886854,16.15083853,29A,Pfluo,37,4,BLUE
37.4,2,7.464597365,24.7968557,46A,Pfluo,37,4,BLUE
37.4,2,3.859092186,12.81962675,46B,Psyr,37,4,BLUE
37.4,2,5.804766148,19.28301575,20B,Psyr,37,4,BLUE
