"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium2"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"
"1"	1	29	0	5	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	534	0	0	0	1
"2"	1	5064	0	0	239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"3"	0	8843	0	1	273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"4"	0	63	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"5"	21	451	0	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"6"	184	228	0	0	10	416	56	0	0	0	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	66	5607	0	0	6	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	191	159	0	0	36	0	0	68	0	0	4	35	3	0	0	0	0	0	0	0	0	0	114	0	0	0	11	0	132	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	354	1	0	0
"9"	6	0	0	0	12	534	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0
"10"	6	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	10
"11"	854	5	0	0	381	5	788	0	0	0	33	24	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	22	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20
"12"	2718	2144	0	0	17	303	0	5	0	0	192	3	11	0	0	0	662	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0	2	25	0	0	0	1	44	5	0	2	0	0	2	0	0	0	0	0	4	2	0	0	0	0	0	17	0	0
"13"	704	665	0	4	32	5	245	0	0	0	1	73	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"14"	2164	95	0	0	396	157	0	72	0	241	0	48	27	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	13	0	0	0	0	3	0	0	0	12	1	0	0	0	0	16	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"15"	15	0	0	0	0	0	0	0	0	0	0	7	12	0	0	5	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0
"16"	384	44	0	0	3	3	1	124	0	4	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
"17"	1	3	0	0	559	2	238	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
"18"	1262	348	0	0	1036	59	1129	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	5	0	0	0	0	11	0	6	12	37	1	0	0	2	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	21
"19"	7	10	0	0	1	1	15	11	0	4	6	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	223	6	0	0	0	62	24	1	0	0	171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
