"cuts"	"otu_map"
"Sphingomonas1"	1	"Sphingomonas1"
"Sphingomonas3"	1	"Sphingomonas1"
"Sphingomonas4"	1	"Sphingomonas1"
"Sphingomonas6"	1	"Sphingomonas1"
"Sphingomonas7"	1	"Sphingomonas1"
"Sphingomonas8"	1	"Sphingomonas1"
"Sphingomonas11"	1	"Sphingomonas1"
"Sphingomonas10"	1	"Sphingomonas1"
"Sphingomonas12"	1	"Sphingomonas1"
"Sphingomonas13"	1	"Sphingomonas1"
"Sphingomonas14"	1	"Sphingomonas1"
"Sphingomonas15"	1	"Sphingomonas1"
"Sphingomonas17"	1	"Sphingomonas1"
"Sphingomonas18"	1	"Sphingomonas1"
"Sphingomonas19"	1	"Sphingomonas1"
"Sphingomonas22"	1	"Sphingomonas1"
"Sphingomonas23"	1	"Sphingomonas1"
"Sphingomonas25"	1	"Sphingomonas1"
"Sphingomonas26"	1	"Sphingomonas1"
"Sphingomonas27"	1	"Sphingomonas1"
"Pseudomonas1"	2	"Pseudomonas1"
"Pseudomonas4"	2	"Pseudomonas1"
"Pseudomonas8"	2	"Pseudomonas1"
"Pseudomonas14"	2	"Pseudomonas1"
"Pseudomonas15"	2	"Pseudomonas1"
"Pseudomonas29"	2	"Pseudomonas1"
"Pseudomonas21"	2	"Pseudomonas1"
"Pseudomonas16"	2	"Pseudomonas1"
"Pseudomonas17"	2	"Pseudomonas1"
"Pseudomonas18"	2	"Pseudomonas1"
"Pseudomonas22"	2	"Pseudomonas1"
"Pseudomonas23"	2	"Pseudomonas1"
"Pseudomonas25"	2	"Pseudomonas1"
"Pseudomonas28"	2	"Pseudomonas1"
"Pseudomonas32"	2	"Pseudomonas1"
"Pseudomonas31"	2	"Pseudomonas1"
"Pseudomonas33"	2	"Pseudomonas1"
"Pseudomonas34"	2	"Pseudomonas1"
"Pseudomonas36"	2	"Pseudomonas1"
"Pseudomonas39"	2	"Pseudomonas1"
"Pseudomonas38"	2	"Pseudomonas1"
"Pseudomonas41"	2	"Pseudomonas1"
"Acetobacteraceae1"	3	"Acetobacteraceae1"
"Acetobacteraceae3"	3	"Acetobacteraceae1"
"Pseudomonas2"	4	"Pseudomonas2"
"Pseudomonas27"	4	"Pseudomonas2"
"Pseudomonas35"	4	"Pseudomonas2"
"Pseudomonas3"	5	"Pseudomonas3"
"Pseudomonas11"	5	"Pseudomonas3"
"Pseudomonas12"	5	"Pseudomonas3"
"Massilia1"	6	"Massilia1"
"Massilia7"	6	"Massilia1"
"Massilia8"	6	"Massilia1"
"Massilia2"	7	"Massilia2"
"Massilia6"	7	"Massilia2"
"Sphingomonas2"	8	"Sphingomonas2"
"Sphingomonas16"	8	"Sphingomonas2"
"Sphingomonas20"	8	"Sphingomonas2"
"Xanthomonas"	9	"Xanthomonas"
"Pseudomonas5"	10	"Pseudomonas5"
"Pseudomonas7"	10	"Pseudomonas5"
"Pseudomonas9"	10	"Pseudomonas5"
"Pseudomonas10"	10	"Pseudomonas5"
"Duganella1"	11	"Duganella1"
"Microbacteriaceae2"	12	"Microbacteriaceae2"
"Microbacteriaceae1"	13	"Microbacteriaceae1"
"Microbacteriaceae4"	13	"Microbacteriaceae1"
"Microbacteriaceae5"	13	"Microbacteriaceae1"
"Geobacillus"	14	"Geobacillus"
"Clavibacter"	15	"Clavibacter"
"Pseudomonas6"	16	"Pseudomonas6"
"Pseudomonas20"	16	"Pseudomonas6"
"Pseudomonas40"	16	"Pseudomonas6"
"Massilia3"	17	"Massilia3"
"Massilia4"	17	"Massilia3"
"Pedobacter1"	18	"Pedobacter1"
"Acetobacteraceae2"	19	"Acetobacteraceae2"
"Anoxybacillus"	20	"Anoxybacillus"
"Rhizobium1"	21	"Rhizobium1"
"Pseudaminobacter"	22	"Pseudaminobacter"
"Hyphomicrobium"	23	"Hyphomicrobium"
"Chryseobacterium1"	24	"Chryseobacterium1"
"Chryseobacterium2"	25	"Chryseobacterium2"
"Pedobacter2"	26	"Pedobacter2"
"Methylobacterium1"	27	"Methylobacterium1"
"Methylobacterium3"	27	"Methylobacterium1"
"Microbacteriaceae3"	28	"Microbacteriaceae3"
"Sphingomonas5"	29	"Sphingomonas5"
"Aureimonas"	30	"Aureimonas"
"Sphingomonadaceae"	31	"Sphingomonadaceae"
"Polaromonas"	32	"Polaromonas"
"Janthinobacterium"	33	"Janthinobacterium"
"Acinetobacter"	34	"Acinetobacter"
"Neorhizobium"	35	"Neorhizobium"
"Pseudomonas13"	36	"Pseudomonas13"
"Methylobacterium2"	37	"Methylobacterium2"
"Rhodococcus"	38	"Rhodococcus"
"Escherichia"	39	"Escherichia"
"Chryseobacterium3"	40	"Chryseobacterium3"
"Flavobacterium"	41	"Flavobacterium"
