

This is RAxML version 7.7.6 released by Alexandros Stamatakis on August 29 2013.

With greatly appreciated code contributions by:
Andre Aberer (HITS)
Simon Berger (HITS)
Nick Pattengale (Sandia)
Wayne Pfeiffer (SDSC)
Akifumi S. Tanabe (NRIFS)


Alignment has 178 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 3.07%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
ML estimate of 25 per site rate categories

Likelihood of final tree will be evaluated and optimized under GAMMA

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 178
Name: No Name Provided
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS-SSE3 -s node_reps_aln.filter.phy -n node_reps_aln.filter.out -m GTRCAT -f a -x 123 -N autoMRE -p 456 -T 2 



Time for BS model parameter optimization 3.507031
Bootstrap[0]: Time 13.289716 seconds, bootstrap likelihood -4471.054175, best rearrangement setting 5
Bootstrap[1]: Time 10.128438 seconds, bootstrap likelihood -4235.376947, best rearrangement setting 6
Bootstrap[2]: Time 10.144119 seconds, bootstrap likelihood -4362.730240, best rearrangement setting 7
Bootstrap[3]: Time 11.339673 seconds, bootstrap likelihood -4941.674332, best rearrangement setting 11
Bootstrap[4]: Time 11.566948 seconds, bootstrap likelihood -4260.957968, best rearrangement setting 15
Bootstrap[5]: Time 11.031253 seconds, bootstrap likelihood -5116.944694, best rearrangement setting 15
Bootstrap[6]: Time 9.663034 seconds, bootstrap likelihood -4259.860416, best rearrangement setting 5
Bootstrap[7]: Time 10.387351 seconds, bootstrap likelihood -4760.280153, best rearrangement setting 12
Bootstrap[8]: Time 12.395466 seconds, bootstrap likelihood -4687.822234, best rearrangement setting 11
Bootstrap[9]: Time 9.722316 seconds, bootstrap likelihood -4771.370266, best rearrangement setting 5
Bootstrap[10]: Time 10.622305 seconds, bootstrap likelihood -4324.940414, best rearrangement setting 13
Bootstrap[11]: Time 10.181972 seconds, bootstrap likelihood -4677.781365, best rearrangement setting 7
Bootstrap[12]: Time 10.304545 seconds, bootstrap likelihood -4331.173009, best rearrangement setting 6
Bootstrap[13]: Time 9.505399 seconds, bootstrap likelihood -4826.225982, best rearrangement setting 5
Bootstrap[14]: Time 10.690250 seconds, bootstrap likelihood -4283.484834, best rearrangement setting 5
Bootstrap[15]: Time 10.526002 seconds, bootstrap likelihood -4585.502522, best rearrangement setting 8
Bootstrap[16]: Time 11.399539 seconds, bootstrap likelihood -4620.052232, best rearrangement setting 14
Bootstrap[17]: Time 12.227131 seconds, bootstrap likelihood -5014.035218, best rearrangement setting 14
Bootstrap[18]: Time 10.989452 seconds, bootstrap likelihood -4892.141884, best rearrangement setting 12
Bootstrap[19]: Time 8.809609 seconds, bootstrap likelihood -4598.233850, best rearrangement setting 5
